frame_number,id,actor_actress,about,score
9401,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7418444973780068
9401,6f236072-eda4-4110-8b2e-4336d0734133,Tessa Peake-Jones,About the Character: “Mrs. M” is the vicarage’s housekeeper—an indomitable soul who keeps everyone in check and does her best to make a chaotic household presentable. She’s been a local all her life  speaks her mind and can be a bit of a busybody.Where You’ve Seen Her Before: She might be recognized from her role in Season 1 of Unforgotten  but Peake-Jones is best known for her work in the 1980 film Pride and Prejudice and the series Only Fools and Horses.Fun Fact: Before Grantchester  Peake-Jones worked with Robson Green on an episode of the British medical drama series Casualty—and with a very naked James Norton on the indie film Bonobo  about a bohemian commune.Related Content: Read our exclusive cast interview with Peake-Jones and listen to her speak with the MASTERPIECE Studio podcast.,0.7398289442062378
9901,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7754806876182556
10501,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7223388983213258
10801,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6951572117303152
10901,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7137000560760498
11101,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7260294772991386
11201,6f236072-eda4-4110-8b2e-4336d0734133,Tessa Peake-Jones,About the Character: “Mrs. M” is the vicarage’s housekeeper—an indomitable soul who keeps everyone in check and does her best to make a chaotic household presentable. She’s been a local all her life  speaks her mind and can be a bit of a busybody.Where You’ve Seen Her Before: She might be recognized from her role in Season 1 of Unforgotten  but Peake-Jones is best known for her work in the 1980 film Pride and Prejudice and the series Only Fools and Horses.Fun Fact: Before Grantchester  Peake-Jones worked with Robson Green on an episode of the British medical drama series Casualty—and with a very naked James Norton on the indie film Bonobo  about a bohemian commune.Related Content: Read our exclusive cast interview with Peake-Jones and listen to her speak with the MASTERPIECE Studio podcast.,0.7665590643882751
11601,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7883096211141136
11801,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7506380081176758
11901,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6655944188116321
17501,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.60924232006073
17601,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7048713564872742
18001,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6998691141683404
18301,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7181858634408079
18401,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6641996703028887
18901,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6039755704388373
19101,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6270687580108643
19301,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6600665050764833
19401,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6438306570053101
